timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/22 13:53:38.140, 16.42 W, 62, 0 %, 1500 MHz
2026/06/22 13:53:39.158, 16.49 W, 62, 0 %, 1500 MHz
2026/06/22 13:53:40.172, 16.51 W, 62, 0 %, 1500 MHz
2026/06/22 13:53:41.186, 16.51 W, 63, 0 %, 1500 MHz
2026/06/22 13:53:42.192, 16.58 W, 62, 5 %, 1500 MHz
2026/06/22 13:53:43.200, 16.90 W, 63, 10 %, 1500 MHz
2026/06/22 13:53:44.209, 17.04 W, 63, 1 %, 1500 MHz
2026/06/22 13:53:45.217, 16.67 W, 62, 0 %, 1500 MHz
2026/06/22 13:53:46.230, 16.54 W, 63, 0 %, 1500 MHz
2026/06/22 13:53:47.240, 16.52 W, 63, 0 %, 1500 MHz
2026/06/22 13:53:48.252, 16.78 W, 63, 1 %, 1500 MHz
2026/06/22 13:53:49.263, 16.50 W, 63, 1 %, 1500 MHz
2026/06/22 13:53:50.274, 16.38 W, 63, 0 %, 1500 MHz
2026/06/22 13:53:51.283, 16.33 W, 63, 1 %, 1500 MHz
2026/06/22 13:53:52.299, 16.31 W, 63, 0 %, 1500 MHz
2026/06/22 13:53:53.312, 17.39 W, 63, 6 %, 1500 MHz
2026/06/22 13:53:54.319, 17.37 W, 63, 8 %, 1500 MHz
2026/06/22 13:53:55.327, 17.05 W, 64, 7 %, 1500 MHz
2026/06/22 13:53:56.342, 16.93 W, 64, 7 %, 1500 MHz
2026/06/22 13:53:57.350, 17.15 W, 65, 8 %, 1500 MHz
2026/06/22 13:53:58.370, 17.49 W, 65, 14 %, 1500 MHz
2026/06/22 13:53:59.376, 17.37 W, 65, 9 %, 1500 MHz
2026/06/22 13:54:00.389, 17.43 W, 66, 8 %, 1500 MHz
2026/06/22 13:54:01.400, 17.55 W, 66, 8 %, 1500 MHz
2026/06/22 13:54:02.406, 17.43 W, 66, 9 %, 1500 MHz
2026/06/22 13:54:03.425, 17.63 W, 67, 11 %, 1500 MHz
2026/06/22 13:54:04.433, 17.75 W, 67, 8 %, 1500 MHz
2026/06/22 13:54:05.442, 17.66 W, 67, 8 %, 1500 MHz
2026/06/22 13:54:06.451, 17.56 W, 67, 8 %, 1500 MHz
2026/06/22 13:54:07.456, 17.69 W, 67, 8 %, 1500 MHz
2026/06/22 13:54:08.463, 17.67 W, 68, 9 %, 1500 MHz
2026/06/22 13:54:09.480, 35.14 W, 70, 32 %, 1777 MHz
2026/06/22 13:54:10.490, 34.87 W, 70, 25 %, 1777 MHz
2026/06/22 13:54:11.505, 22.58 W, 69, 7 %, 1500 MHz
2026/06/22 13:54:12.520, 25.81 W, 70, 23 %, 1500 MHz
2026/06/22 13:54:13.528, 25.53 W, 70, 25 %, 1500 MHz
2026/06/22 13:54:14.543, 24.55 W, 70, 21 %, 1500 MHz
2026/06/22 13:54:15.551, 25.74 W, 70, 20 %, 1500 MHz
2026/06/22 13:54:16.562, 31.00 W, 70, 3 %, 1500 MHz
2026/06/22 13:54:17.571, 45.92 W, 73, 45 %, 1845 MHz
2026/06/22 13:54:18.590, 48.50 W, 74, 43 %, 1920 MHz
2026/06/22 13:54:19.612, 47.94 W, 74, 38 %, 1920 MHz
2026/06/22 13:54:20.621, 37.53 W, 74, 32 %, 1665 MHz
2026/06/22 13:54:21.629, 34.28 W, 73, 36 %, 1582 MHz
2026/06/22 13:54:22.633, 32.81 W, 73, 36 %, 1522 MHz
2026/06/22 13:54:23.642, 32.88 W, 74, 41 %, 1657 MHz
2026/06/22 13:54:24.654, 35.90 W, 74, 36 %, 1657 MHz
2026/06/22 13:54:25.664, 31.59 W, 74, 39 %, 1515 MHz
2026/06/22 13:54:26.674, 31.59 W, 74, 39 %, 1500 MHz
2026/06/22 13:54:27.685, 31.84 W, 74, 34 %, 1537 MHz
2026/06/22 13:54:28.691, 32.08 W, 74, 33 %, 1537 MHz
2026/06/22 13:54:29.704, 31.53 W, 74, 36 %, 1500 MHz
2026/06/22 13:54:30.713, 36.48 W, 75, 40 %, 1657 MHz
2026/06/22 13:54:31.727, 37.31 W, 75, 36 %, 1657 MHz
2026/06/22 13:54:32.740, 39.97 W, 76, 38 %, 1725 MHz
2026/06/22 13:54:33.756, 38.07 W, 76, 36 %, 1747 MHz
2026/06/22 13:54:34.770, 38.73 W, 76, 35 %, 1747 MHz
2026/06/22 13:54:35.782, 26.15 W, 75, 34 %, 1500 MHz
2026/06/22 13:54:36.795, 35.53 W, 76, 40 %, 1605 MHz
2026/06/22 13:54:37.813, 34.96 W, 76, 39 %, 1605 MHz
2026/06/22 13:54:38.829, 31.51 W, 75, 29 %, 1515 MHz
2026/06/22 13:54:39.843, 30.66 W, 75, 35 %, 1500 MHz
2026/06/22 13:54:40.855, 30.01 W, 75, 33 %, 1500 MHz
2026/06/22 13:54:41.866, 30.19 W, 76, 36 %, 1500 MHz
2026/06/22 13:54:42.878, 29.90 W, 75, 28 %, 1507 MHz
2026/06/22 13:54:43.891, 32.24 W, 76, 41 %, 1537 MHz
2026/06/22 13:54:44.906, 34.21 W, 76, 39 %, 1545 MHz
2026/06/22 13:54:45.921, 34.55 W, 77, 36 %, 1597 MHz
2026/06/22 13:54:46.933, 33.73 W, 77, 35 %, 1612 MHz
2026/06/22 13:54:47.943, 34.16 W, 77, 36 %, 1500 MHz
2026/06/22 13:54:48.954, 33.10 W, 77, 39 %, 1515 MHz
2026/06/22 13:54:49.963, 35.74 W, 77, 40 %, 1567 MHz
2026/06/22 13:54:50.975, 32.56 W, 77, 32 %, 1500 MHz
2026/06/22 13:54:51.979, 32.38 W, 77, 37 %, 1500 MHz
2026/06/22 13:54:52.995, 30.64 W, 77, 33 %, 1500 MHz
2026/06/22 13:54:54.007, 39.28 W, 78, 34 %, 1732 MHz
2026/06/22 13:54:55.023, 48.92 W, 80, 35 %, 1912 MHz
2026/06/22 13:54:56.036, 48.65 W, 80, 31 %, 1912 MHz
2026/06/22 13:54:57.050, 35.48 W, 78, 38 %, 1620 MHz
2026/06/22 13:54:58.062, 34.34 W, 78, 38 %, 1545 MHz
2026/06/22 13:54:59.076, 31.85 W, 78, 34 %, 1500 MHz
2026/06/22 13:55:00.088, 32.54 W, 78, 42 %, 1560 MHz
2026/06/22 13:55:01.099, 33.40 W, 78, 35 %, 1560 MHz
2026/06/22 13:55:02.109, 30.77 W, 77, 31 %, 1500 MHz
2026/06/22 13:55:03.123, 28.09 W, 77, 33 %, 1500 MHz
2026/06/22 13:55:04.135, 30.63 W, 77, 32 %, 1500 MHz
2026/06/22 13:55:05.146, 30.81 W, 77, 32 %, 1500 MHz
2026/06/22 13:55:06.158, 31.57 W, 78, 34 %, 1500 MHz
2026/06/22 13:55:07.172, 29.97 W, 77, 33 %, 1500 MHz
2026/06/22 13:55:08.186, 30.57 W, 77, 33 %, 1500 MHz
2026/06/22 13:55:09.199, 31.70 W, 78, 37 %, 1500 MHz
2026/06/22 13:55:10.206, 30.12 W, 77, 32 %, 1500 MHz
