timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/17 12:37:28.121, 16.40 W, 64, 0 %, 1500 MHz
2026/06/17 12:37:29.125, 16.35 W, 65, 1 %, 1500 MHz
2026/06/17 12:37:30.141, 16.29 W, 64, 0 %, 1500 MHz
2026/06/17 12:37:31.155, 16.38 W, 64, 1 %, 1500 MHz
2026/06/17 12:37:32.169, 16.52 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:33.185, 16.27 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:34.200, 16.28 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:35.216, 16.32 W, 65, 2 %, 1500 MHz
2026/06/17 12:37:36.231, 16.39 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:37.235, 16.38 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:38.250, 16.41 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:39.255, 16.36 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:40.269, 16.63 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:41.280, 16.49 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:42.295, 16.58 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:43.310, 16.59 W, 65, 0 %, 1500 MHz
2026/06/17 12:37:44.319, 16.81 W, 66, 7 %, 1500 MHz
2026/06/17 12:37:45.325, 17.70 W, 66, 1 %, 1500 MHz
2026/06/17 12:37:46.338, 17.28 W, 66, 3 %, 1500 MHz
2026/06/17 12:37:47.346, 16.59 W, 66, 0 %, 1500 MHz
2026/06/17 12:37:48.355, 16.37 W, 66, 6 %, 1500 MHz
2026/06/17 12:37:49.440, 16.46 W, 66, 1 %, 1500 MHz
2026/06/17 12:37:50.466, 17.06 W, 66, 10 %, 1500 MHz
2026/06/17 12:37:51.471, 17.20 W, 67, 8 %, 1500 MHz
2026/06/17 12:37:52.486, 17.53 W, 67, 8 %, 1500 MHz
2026/06/17 12:37:53.502, 17.52 W, 67, 7 %, 1500 MHz
2026/06/17 12:37:54.518, 17.63 W, 67, 13 %, 1500 MHz
2026/06/17 12:37:55.530, 17.80 W, 68, 8 %, 1500 MHz
2026/06/17 12:37:56.543, 17.67 W, 68, 9 %, 1500 MHz
2026/06/17 12:37:57.545, 17.74 W, 68, 8 %, 1500 MHz
2026/06/17 12:37:58.558, 17.83 W, 68, 8 %, 1500 MHz
2026/06/17 12:37:59.571, 17.83 W, 68, 10 %, 1500 MHz
2026/06/17 12:38:00.588, 18.00 W, 69, 12 %, 1500 MHz
2026/06/17 12:38:01.601, 17.98 W, 68, 8 %, 1500 MHz
2026/06/17 12:38:02.613, 17.94 W, 69, 8 %, 1500 MHz
2026/06/17 12:38:03.625, 17.93 W, 69, 8 %, 1500 MHz
2026/06/17 12:38:04.633, 18.01 W, 69, 8 %, 1500 MHz
2026/06/17 12:38:05.644, 23.47 W, 70, 36 %, 1500 MHz
2026/06/17 12:38:06.654, 27.89 W, 71, 33 %, 1500 MHz
2026/06/17 12:38:07.668, 30.15 W, 71, 31 %, 1627 MHz
2026/06/17 12:38:08.681, 30.43 W, 72, 27 %, 1627 MHz
2026/06/17 12:38:09.696, 27.13 W, 71, 28 %, 1500 MHz
2026/06/17 12:38:10.713, 26.00 W, 71, 22 %, 1500 MHz
2026/06/17 12:38:11.725, 25.22 W, 71, 21 %, 1500 MHz
2026/06/17 12:38:12.739, 26.28 W, 71, 25 %, 1500 MHz
2026/06/17 12:38:13.757, 23.34 W, 71, 15 %, 1500 MHz
2026/06/17 12:38:14.772, 22.90 W, 70, 12 %, 1500 MHz
2026/06/17 12:38:15.782, 30.73 W, 72, 33 %, 1500 MHz
2026/06/17 12:38:16.795, 30.47 W, 72, 36 %, 1500 MHz
2026/06/17 12:38:17.808, 29.73 W, 72, 36 %, 1500 MHz
2026/06/17 12:38:18.819, 30.17 W, 73, 35 %, 1500 MHz
2026/06/17 12:38:19.837, 31.18 W, 73, 38 %, 1500 MHz
2026/06/17 12:38:20.849, 30.92 W, 73, 30 %, 1500 MHz
2026/06/17 12:38:21.862, 31.14 W, 73, 36 %, 1500 MHz
2026/06/17 12:38:22.874, 29.70 W, 73, 28 %, 1500 MHz
2026/06/17 12:38:23.890, 30.60 W, 73, 35 %, 1500 MHz
2026/06/17 12:38:24.904, 29.79 W, 73, 34 %, 1500 MHz
2026/06/17 12:38:25.917, 29.24 W, 73, 34 %, 1500 MHz
2026/06/17 12:38:26.930, 29.68 W, 73, 35 %, 1500 MHz
2026/06/17 12:38:27.951, 27.42 W, 73, 30 %, 1500 MHz
2026/06/17 12:38:28.986, 29.27 W, 74, 32 %, 1500 MHz
2026/06/17 12:38:30.003, 30.05 W, 74, 33 %, 1500 MHz
2026/06/17 12:38:31.010, 26.54 W, 74, 31 %, 1500 MHz
2026/06/17 12:38:32.025, 28.90 W, 74, 32 %, 1500 MHz
2026/06/17 12:38:33.035, 30.43 W, 74, 33 %, 1500 MHz
2026/06/17 12:38:34.048, 28.94 W, 74, 29 %, 1500 MHz
2026/06/17 12:38:35.066, 29.41 W, 74, 35 %, 1500 MHz
2026/06/17 12:38:36.081, 29.13 W, 74, 32 %, 1500 MHz
2026/06/17 12:38:37.094, 30.81 W, 75, 34 %, 1500 MHz
2026/06/17 12:38:38.106, 31.43 W, 75, 36 %, 1500 MHz
