timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/18 15:52:52.712, 17.03 W, 59, 0 %, 1500 MHz
2026/06/18 15:52:53.719, 17.05 W, 60, 0 %, 1500 MHz
2026/06/18 15:52:54.725, 17.05 W, 59, 0 %, 1500 MHz
2026/06/18 15:52:55.732, 16.95 W, 59, 0 %, 1500 MHz
2026/06/18 15:52:56.739, 17.06 W, 60, 0 %, 1500 MHz
2026/06/18 15:52:57.746, 16.93 W, 59, 1 %, 1500 MHz
2026/06/18 15:52:58.753, 17.10 W, 59, 0 %, 1500 MHz
2026/06/18 15:52:59.760, 17.06 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:00.767, 17.12 W, 59, 0 %, 1500 MHz
2026/06/18 15:53:01.775, 16.92 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:02.781, 17.13 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:03.788, 17.19 W, 60, 1 %, 1500 MHz
2026/06/18 15:53:04.795, 17.03 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:05.802, 17.19 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:06.809, 17.31 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:07.816, 17.28 W, 60, 5 %, 1500 MHz
2026/06/18 15:53:08.823, 17.15 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:09.830, 17.34 W, 60, 3 %, 1500 MHz
2026/06/18 15:53:10.837, 17.32 W, 60, 3 %, 1500 MHz
2026/06/18 15:53:11.844, 17.23 W, 60, 0 %, 1500 MHz
2026/06/18 15:53:12.857, 17.84 W, 60, 2 %, 1500 MHz
2026/06/18 15:53:13.865, 17.25 W, 61, 4 %, 1500 MHz
2026/06/18 15:53:14.871, 17.38 W, 60, 1 %, 1500 MHz
2026/06/18 15:53:15.878, 16.99 W, 61, 8 %, 1500 MHz
2026/06/18 15:53:16.888, 17.06 W, 61, 4 %, 1500 MHz
2026/06/18 15:53:17.901, 17.61 W, 61, 8 %, 1500 MHz
2026/06/18 15:53:18.905, 17.68 W, 61, 10 %, 1500 MHz
2026/06/18 15:53:19.911, 17.75 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:20.924, 17.78 W, 62, 7 %, 1500 MHz
2026/06/18 15:53:21.933, 18.01 W, 62, 13 %, 1500 MHz
2026/06/18 15:53:22.946, 18.15 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:23.960, 18.00 W, 62, 9 %, 1500 MHz
2026/06/18 15:53:24.974, 17.81 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:25.985, 18.04 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:26.999, 18.01 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:28.010, 18.05 W, 62, 11 %, 1500 MHz
2026/06/18 15:53:29.020, 17.93 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:30.030, 17.89 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:31.047, 17.81 W, 62, 8 %, 1500 MHz
2026/06/18 15:53:32.062, 18.00 W, 62, 9 %, 1500 MHz
2026/06/18 15:53:33.077, 27.21 W, 63, 35 %, 1500 MHz
2026/06/18 15:53:34.089, 30.81 W, 64, 42 %, 1567 MHz
2026/06/18 15:53:35.094, 29.93 W, 64, 32 %, 1635 MHz
2026/06/18 15:53:36.108, 25.51 W, 63, 22 %, 1500 MHz
2026/06/18 15:53:37.120, 24.83 W, 63, 24 %, 1500 MHz
2026/06/18 15:53:38.135, 24.89 W, 64, 24 %, 1500 MHz
2026/06/18 15:53:39.149, 24.56 W, 64, 24 %, 1500 MHz
2026/06/18 15:53:40.158, 23.97 W, 64, 22 %, 1500 MHz
2026/06/18 15:53:41.174, 26.74 W, 64, 2 %, 1500 MHz
2026/06/18 15:53:42.183, 37.21 W, 66, 41 %, 1755 MHz
2026/06/18 15:53:43.196, 37.46 W, 66, 39 %, 1762 MHz
2026/06/18 15:53:44.207, 37.08 W, 67, 36 %, 1762 MHz
2026/06/18 15:53:45.226, 30.88 W, 65, 34 %, 1522 MHz
2026/06/18 15:53:46.237, 29.30 W, 65, 37 %, 1500 MHz
2026/06/18 15:53:47.246, 29.29 W, 66, 36 %, 1500 MHz
2026/06/18 15:53:48.262, 29.48 W, 66, 37 %, 1500 MHz
2026/06/18 15:53:49.274, 29.68 W, 66, 37 %, 1500 MHz
2026/06/18 15:53:50.288, 29.59 W, 66, 38 %, 1500 MHz
2026/06/18 15:53:51.298, 29.27 W, 66, 37 %, 1500 MHz
2026/06/18 15:53:52.308, 28.49 W, 66, 35 %, 1500 MHz
2026/06/18 15:53:53.322, 27.81 W, 66, 33 %, 1500 MHz
2026/06/18 15:53:54.331, 28.08 W, 66, 35 %, 1500 MHz
2026/06/18 15:53:55.343, 29.08 W, 67, 36 %, 1500 MHz
2026/06/18 15:53:56.355, 29.14 W, 66, 35 %, 1500 MHz
2026/06/18 15:53:57.369, 28.42 W, 66, 35 %, 1500 MHz
2026/06/18 15:53:58.387, 28.27 W, 67, 33 %, 1500 MHz
2026/06/18 15:53:59.403, 28.32 W, 67, 35 %, 1500 MHz
2026/06/18 15:54:00.414, 28.62 W, 67, 34 %, 1500 MHz
2026/06/18 15:54:01.428, 29.49 W, 67, 37 %, 1500 MHz
2026/06/18 15:54:02.440, 29.45 W, 67, 35 %, 1500 MHz
2026/06/18 15:54:03.453, 29.35 W, 67, 36 %, 1500 MHz
2026/06/18 15:54:04.466, 29.72 W, 67, 38 %, 1500 MHz
2026/06/18 15:54:05.473, 30.01 W, 67, 36 %, 1500 MHz
2026/06/18 15:54:06.489, 30.47 W, 67, 40 %, 1500 MHz
2026/06/18 15:54:07.504, 30.59 W, 67, 39 %, 1507 MHz
2026/06/18 15:54:08.517, 31.83 W, 68, 42 %, 1680 MHz
2026/06/18 15:54:09.525, 37.08 W, 68, 38 %, 1732 MHz
2026/06/18 15:54:10.532, 38.19 W, 69, 40 %, 1740 MHz
2026/06/18 15:54:11.549, 38.96 W, 69, 40 %, 1740 MHz
2026/06/18 15:54:12.561, 40.31 W, 69, 39 %, 1792 MHz
2026/06/18 15:54:13.572, 42.25 W, 70, 40 %, 1845 MHz
2026/06/18 15:54:14.581, 44.51 W, 70, 37 %, 1867 MHz
2026/06/18 15:54:15.596, 45.83 W, 71, 42 %, 1942 MHz
2026/06/18 15:54:16.616, 47.59 W, 71, 30 %, 1912 MHz
2026/06/18 15:54:17.636, 46.82 W, 71, 36 %, 1912 MHz
2026/06/18 15:54:18.645, 42.13 W, 70, 36 %, 1755 MHz
