timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/18 15:29:26.151, 15.89 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:27.158, 15.92 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:28.165, 15.90 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:29.173, 15.88 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:30.179, 16.00 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:31.186, 15.90 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:32.193, 15.89 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:33.200, 16.05 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:34.207, 16.00 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:35.214, 16.07 W, 53, 0 %, 1500 MHz
2026/06/18 15:29:36.221, 16.10 W, 53, 3 %, 1500 MHz
2026/06/18 15:29:37.224, 16.27 W, 53, 1 %, 1500 MHz
2026/06/18 15:29:38.230, 16.36 W, 54, 7 %, 1500 MHz
2026/06/18 15:29:39.235, 16.09 W, 54, 2 %, 1500 MHz
2026/06/18 15:29:40.242, 16.36 W, 54, 4 %, 1500 MHz
2026/06/18 15:29:41.249, 16.05 W, 54, 0 %, 1500 MHz
2026/06/18 15:29:42.255, 16.38 W, 54, 0 %, 1500 MHz
2026/06/18 15:29:43.263, 16.62 W, 54, 7 %, 1500 MHz
2026/06/18 15:29:44.269, 16.77 W, 55, 3 %, 1500 MHz
2026/06/18 15:29:45.276, 16.42 W, 54, 0 %, 1500 MHz
2026/06/18 15:29:46.297, 16.19 W, 55, 0 %, 1500 MHz
2026/06/18 15:29:47.304, 16.10 W, 55, 6 %, 1500 MHz
2026/06/18 15:29:48.319, 16.19 W, 55, 1 %, 1500 MHz
2026/06/18 15:29:49.329, 16.71 W, 56, 8 %, 1500 MHz
2026/06/18 15:29:50.339, 16.82 W, 56, 8 %, 1500 MHz
2026/06/18 15:29:51.350, 16.98 W, 56, 7 %, 1500 MHz
2026/06/18 15:29:52.366, 16.97 W, 57, 10 %, 1500 MHz
2026/06/18 15:29:53.383, 16.87 W, 57, 12 %, 1500 MHz
2026/06/18 15:29:54.397, 17.30 W, 57, 13 %, 1500 MHz
2026/06/18 15:29:55.403, 17.35 W, 58, 9 %, 1500 MHz
2026/06/18 15:29:56.413, 17.31 W, 58, 8 %, 1500 MHz
2026/06/18 15:29:57.420, 17.33 W, 58, 8 %, 1500 MHz
2026/06/18 15:29:58.426, 17.35 W, 58, 8 %, 1500 MHz
2026/06/18 15:29:59.438, 17.46 W, 58, 11 %, 1500 MHz
2026/06/18 15:30:00.451, 17.31 W, 58, 8 %, 1500 MHz
2026/06/18 15:30:01.463, 17.41 W, 59, 8 %, 1500 MHz
2026/06/18 15:30:02.482, 17.55 W, 59, 8 %, 1500 MHz
2026/06/18 15:30:03.496, 17.57 W, 59, 8 %, 1500 MHz
2026/06/18 15:30:04.510, 26.85 W, 60, 40 %, 1515 MHz
2026/06/18 15:30:05.515, 29.42 W, 61, 29 %, 1672 MHz
2026/06/18 15:30:06.530, 27.76 W, 61, 29 %, 1500 MHz
2026/06/18 15:30:07.542, 22.89 W, 60, 24 %, 1500 MHz
2026/06/18 15:30:08.548, 23.92 W, 61, 23 %, 1500 MHz
2026/06/18 15:30:09.563, 24.34 W, 61, 24 %, 1500 MHz
2026/06/18 15:30:10.579, 23.26 W, 61, 21 %, 1500 MHz
2026/06/18 15:30:11.593, 21.32 W, 61, 7 %, 1500 MHz
2026/06/18 15:30:12.608, 28.85 W, 62, 38 %, 1545 MHz
2026/06/18 15:30:13.627, 30.55 W, 63, 39 %, 1552 MHz
2026/06/18 15:30:14.645, 29.62 W, 63, 37 %, 1552 MHz
2026/06/18 15:30:15.649, 29.33 W, 63, 38 %, 1500 MHz
2026/06/18 15:30:16.661, 29.82 W, 63, 38 %, 1500 MHz
2026/06/18 15:30:17.677, 28.41 W, 63, 37 %, 1500 MHz
2026/06/18 15:30:18.687, 29.04 W, 64, 39 %, 1500 MHz
2026/06/18 15:30:19.703, 29.60 W, 64, 37 %, 1500 MHz
2026/06/18 15:30:20.719, 29.63 W, 64, 37 %, 1500 MHz
2026/06/18 15:30:21.733, 29.67 W, 64, 38 %, 1500 MHz
2026/06/18 15:30:22.748, 29.58 W, 65, 38 %, 1500 MHz
2026/06/18 15:30:23.759, 29.53 W, 65, 38 %, 1500 MHz
2026/06/18 15:30:24.772, 29.46 W, 65, 37 %, 1500 MHz
2026/06/18 15:30:25.786, 28.93 W, 65, 36 %, 1500 MHz
2026/06/18 15:30:26.804, 29.49 W, 65, 39 %, 1500 MHz
2026/06/18 15:30:27.819, 29.92 W, 65, 38 %, 1500 MHz
2026/06/18 15:30:28.832, 29.91 W, 65, 38 %, 1500 MHz
2026/06/18 15:30:29.845, 29.28 W, 66, 37 %, 1507 MHz
2026/06/18 15:30:30.856, 29.30 W, 66, 40 %, 1500 MHz
2026/06/18 15:30:31.871, 29.93 W, 66, 38 %, 1500 MHz
2026/06/18 15:30:32.883, 29.20 W, 66, 37 %, 1500 MHz
2026/06/18 15:30:33.898, 29.16 W, 66, 35 %, 1500 MHz
2026/06/18 15:30:34.903, 28.73 W, 67, 32 %, 1500 MHz
2026/06/18 15:30:35.914, 29.85 W, 67, 39 %, 1500 MHz
2026/06/18 15:30:36.927, 29.85 W, 67, 38 %, 1500 MHz
2026/06/18 15:30:37.931, 28.66 W, 67, 34 %, 1500 MHz
2026/06/18 15:30:38.937, 28.48 W, 67, 35 %, 1500 MHz
2026/06/18 15:30:39.955, 29.67 W, 67, 39 %, 1500 MHz
2026/06/18 15:30:40.969, 30.20 W, 68, 35 %, 1500 MHz
2026/06/18 15:30:41.982, 30.38 W, 67, 38 %, 1500 MHz
2026/06/18 15:30:42.997, 30.14 W, 68, 38 %, 1500 MHz
2026/06/18 15:30:44.010, 29.69 W, 68, 34 %, 1500 MHz
2026/06/18 15:30:45.024, 29.95 W, 68, 38 %, 1500 MHz
2026/06/18 15:30:46.034, 29.93 W, 68, 37 %, 1500 MHz
2026/06/18 15:30:47.047, 29.54 W, 68, 36 %, 1500 MHz
2026/06/18 15:30:48.057, 29.83 W, 68, 38 %, 1500 MHz
2026/06/18 15:30:49.069, 30.41 W, 68, 39 %, 1500 MHz
2026/06/18 15:30:50.079, 29.79 W, 68, 35 %, 1507 MHz
2026/06/18 15:30:51.089, 29.15 W, 68, 36 %, 1500 MHz
2026/06/18 15:30:52.104, 29.17 W, 69, 35 %, 1500 MHz
2026/06/18 15:30:53.122, 29.13 W, 68, 33 %, 1500 MHz
2026/06/18 15:30:54.131, 30.13 W, 69, 38 %, 1500 MHz
2026/06/18 15:30:55.143, 30.49 W, 69, 37 %, 1522 MHz
2026/06/18 15:30:56.157, 30.10 W, 69, 37 %, 1500 MHz
2026/06/18 15:30:57.170, 29.67 W, 69, 35 %, 1500 MHz
2026/06/18 15:30:58.185, 29.23 W, 69, 36 %, 1500 MHz
2026/06/18 15:30:59.198, 29.18 W, 69, 35 %, 1500 MHz
2026/06/18 15:31:00.204, 29.56 W, 69, 37 %, 1500 MHz
2026/06/18 15:31:01.217, 30.43 W, 69, 39 %, 1500 MHz
2026/06/18 15:31:02.234, 31.13 W, 69, 39 %, 1500 MHz
2026/06/18 15:31:03.253, 31.27 W, 70, 38 %, 1500 MHz
